"CHURCHSTOKE MELLINGTON HALL",,,,,,,,,,,,
Grid ref,SO258919,Long,-3.094965,Lat,52.519907,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.69,2.31,1.72,3.63,,,,,,,,
February,4.18,0.95,0.71,2.55,,,,,,,,
March,1.14,4.60,1.63,4.62,,,,,,,,
April,1.46,2.51,2.17,1.62,,,,,,,,
May,2.76,1.30,3.95,2.65,,,,,,,,
June,2.20,2.37,2.24,1.81,,,,,,,,
July,2.03,4.45,2.35,,,,,,,,,
August,3.86,1.55,3.61,,,,,,,,,
September,0.55,1.37,2.38,,,,,,,,,
October,3.93,2.65,2.88,,,,,,,,,
November,2.85,1.94,2.53,,,,,,,,,
December,3.99,4.63,2.96,,,,,,,,,
Total,32.64,30.63,29.13,,,,,,,,,
Calc annual,32.64,30.63,29.13,16.88,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
