"NANTHIR RESERVOIR [ABERDARE]",,,,,,,,,,,,
Grid ref,SN988068,Long,-3.467399,Lat,51.750722,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.79,5.83,3.15,10.80,10.76,2.53,11.28,3.78,4.55,4.09,,
February,8.81,2.04,2.70,6.55,7.96,2.19,5.74,3.53,4.38,0.91,,
March,1.18,5.52,3.39,11.44,2.76,8.42,4.78,3.32,6.43,6.70,,
April,2.55,6.04,3.14,2.36,3.69,6.43,1.22,3.98,3.31,5.27,,
May,3.67,1.69,3.00,4.98,3.25,0.48,4.22,3.52,4.32,2.28,,
June,3.73,2.77,3.89,1.46,2.25,3.65,2.29,5.71,1.04,4.33,,
July,1.89,1.29,2.86,3.34,3.39,1.52,1.13,3.17,4.07,3.89,,
August,5.11,3.96,2.60,8.18,5.54,7.22,4.49,5.10,9.87,1.97,,
September,3.04,3.39,2.86,5.97,2.34,3.89,1.69,1.24,3.73,4.91,,
October,9.17,3.21,4.78,17.29,2.79,3.51,9.60,8.53,3.94,13.96,,
November,5.60,3.76,5.49,3.59,5.42,6.20,5.65,3.79,4.55,2.62,,
December,11.55,8.89,6.18,5.79,5.50,2.27,4.22,9.36,6.59,11.05,,
Total,64.09,48.39,44.04,81.75,55.65,48.31,56.31,55.03,56.78,61.98,,
Calc annual,64.09,48.39,44.04,81.75,55.65,48.31,56.31,55.03,56.78,61.98,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
