"SELLY OAK LODGE HILL CEMETERY",,,,,,,,,,,,
Grid ref,SP029825,Long,-1.958765,Lat,52.440462,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.80,1.30,1.16,2.17,2.87,1.04,3.62,0.70,0.94,1.23,,
February,4.85,2.03,1.83,1.48,3.68,0.64,2.11,0.91,1.40,0.81,,
March,0.69,1.64,1.97,4.94,1.46,3.70,1.23,0.89,3.33,3.43,,
April,1.28,1.93,2.62,1.86,1.19,2.45,1.44,2.13,2.73,2.40,,
May,1.90,1.16,2.75,2.93,3.17,0.20,2.38,4.08,3.94,1.78,,
June,2.96,2.25,2.66,1.68,0.36,2.41,2.54,2.72,3.50,3.81,,
July,2.12,2.14,1.50,3.10,2.62,1.31,0.91,2.43,2.16,3.74,,
August,2.52,1.95,6.14,4.62,1.79,4.80,1.24,2.77,2.97,1.94,,
September,0.87,1.21,1.55,2.70,1.93,1.16,1.00,0.71,1.72,3.69,,
October,3.48,1.96,2.36,6.70,0.57,1.42,5.54,6.54,2.23,3.83,,
November,3.04,1.36,2.43,1.63,1.62,2.59,2.29,2.44,2.02,1.23,,
December,4.68,5.39,1.84,1.79,2.36,0.96,2.00,4.05,2.65,4.97,,
Total,32.19,24.32,28.81,35.60,23.62,22.68,26.30,30.37,29.59,32.86,,
Calc annual,32.19,24.32,28.81,35.60,23.62,22.68,26.30,30.37,29.59,32.86,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
