"SEAHAM HARBOUR",,,,,,,,,,,,
Grid ref,NZ424493,Long,-1.341392,Lat,54.836736,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.95,1.54,0.86,2.21,2.01,0.24,2.41,0.42,1.09,0.77,,
February,4.46,1.93,1.30,0.76,2.14,0.68,1.29,1.05,1.14,1.34,,
March,1.79,1.76,0.48,1.29,1.15,1.28,1.02,0.90,2.65,3.92,,
April,0.72,1.06,1.57,1.47,1.00,2.63,1.14,1.90,2.44,2.49,,
May,1.25,2.13,2.17,2.49,2.85,0.64,4.97,4.12,1.27,1.59,,
June,3.30,1.36,2.19,2.53,1.33,0.73,0.92,2.73,0.50,1.87,,
July,2.02,1.72,2.31,4.42,1.45,1.26,0.87,1.32,2.75,2.70,,
August,4.87,1.71,1.48,2.46,3.39,2.63,2.22,1.67,1.34,3.11,,
September,0.56,1.26,0.81,2.61,0.82,2.12,0.42,0.36,1.64,1.94,,
October,7.10,2.01,1.93,7.79,0.53,2.45,4.56,3.28,0.94,2.01,,
November,2.66,5.00,1.25,2.40,2.52,4.67,3.05,1.37,1.67,1.11,,
December,2.16,3.43,2.61,1.96,2.05,0.41,2.42,3.06,1.06,3.58,,
Total,33.84,24.91,18.96,32.39,21.24,19.74,25.29,22.18,18.49,26.43,,
Calc annual,33.84,24.91,18.96,32.39,21.24,19.74,25.29,22.18,18.49,26.43,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
