"FOLKESTONE CAPEL LODGE",,,,,,,,,,,,
Grid ref,TR256385,Long,1.220981,Lat,51.101392,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.17,0.77,1.53,2.70,3.70,1.07,3.49,1.16,1.92,1.03,,
February,5.48,1.98,1.92,1.61,2.67,0.78,1.13,1.79,1.32,0.56,,
March,1.14,2.07,0.84,1.96,1.65,3.73,2.15,0.95,2.18,4.45,,
April,0.99,1.31,0.52,2.36,1.00,2.37,1.35,2.48,2.06,2.32,,
May,1.26,0.76,1.82,3.00,1.81,1.22,1.99,2.92,1.08,0.83,,
June,3.17,1.05,2.32,3.31,0.80,5.29,2.43,1.97,1.25,3.11,,
July,1.24,0.76,1.73,4.28,0.84,0.93,0.82,1.54,3.56,2.97,,
August,2.33,1.23,3.97,4.39,1.93,1.64,0.86,2.20,3.17,2.89,,
September,0.92,1.05,0.50,2.19,1.34,2.15,2.02,0.54,1.77,2.78,,
October,2.36,1.64,2.29,5.15,2.34,1.64,3.88,7.09,1.79,9.63,,
November,4.39,0.79,2.18,3.12,1.16,4.27,6.61,2.21,1.72,0.98,,
December,3.26,4.06,3.12,2.60,2.76,0.45,2.70,2.83,3.63,5.33,,
Total,30.71,17.47,22.74,36.67,22.00,25.54,29.43,27.68,25.45,36.88,,
Calc annual,30.71,17.47,22.74,36.67,22.00,25.54,29.43,27.68,25.45,36.88,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
