"BULWELL WATNALL RESERVOIR",,,,,,,,,,,,
Grid ref,SK498457,Long,-1.259296,Lat,53.006306,,,,,,,
Station no,2596,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.45,1.02,1.30,1.20,,
February,,,,,,,2.80,1.89,1.84,0.86,,
March,,,,,,,1.69,1.40,2.83,3.89,,
April,,,,,,,0.51,2.90,2.18,1.41,,
May,,,,,,,1.95,3.39,2.31,1.34,,
June,,,,,,,1.83,3.09,1.84,2.45,,
July,,,,,,,0.77,2.47,3.95,3.77,,
August,,,,,,,1.09,2.84,4.23,3.09,,
September,,,,,,,0.94,0.70,1.65,2.80,,
October,,,,,,,6.06,4.69,1.26,3.90,,
November,,,,,,,2.82,2.39,1.27,0.51,,
December,,,,,,,2.33,3.01,1.87,4.94,,
Total,,,,,,,26.24,29.79,26.53,30.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,26.24,29.79,26.53,30.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
