"NANTLE CWM-SILYN LAKES",,,,,,,,,,,,
Grid ref,SH511508,Long,-4.222001,Lat,53.033696,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,12.70,11.85,4.15,10.50,,,,,
February,,,,10.10,5.85,2.61,7.16,,,,,
March,,,,12.08,7.13,8.60,6.05,,,,,
April,,,2.90,3.52,5.29,4.30,2.62,,,,,
May,,,5.71,3.80,5.12,5.41,10.22,,,,,
June,,,5.70,3.18,5.11,4.10,3.40,,,,,
July,,,3.98,10.30,6.15,4.25,3.05,,,,,
August,,,5.57,12.20,8.38,9.63,10.50,,,,,
September,,,3.26,7.36,8.10,3.80,2.12,,,,,
October,,,7.48,12.19,5.22,8.30,,,,,,
November,,,7.22,5.92,4.80,10.20,,,,,,
December,,,8.24,6.60,9.90,4.50,,,,,,
Total,,,,99.95,82.90,69.85,,,,,,
Calc annual,0.00,0.00,50.06,99.95,82.90,69.85,55.62,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
