"SWINDON, WROUGHTON WATERWORKS",,,,,,,,,,,,
Grid ref,SU151802,Long,-1.783762,Lat,51.520519,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.91,,,,
February,,,,,,,,1.25,,,,
March,,,,,,,,0.78,,,,
April,,,,,,,,3.20,,,,
May,,,,,,,,2.45,,,,
June,,,,,,,,2.20,,,,
July,,,,,,,,2.76,,,,
August,,,,,,,,1.56,,,,
September,,,,,,,,0.64,,,,
October,,,,,,,,6.63,,,,
November,,,,,,,,2.16,,,,
December,,,,,,,,3.93,,,,
Total,,,,,,,,28.48,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.47,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,,
