"SUTTON MONTIS",,,,,,,,,,,,
Grid ref,ST624245,Long,-2.537420,Lat,51.018637,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.65,0.94,1.07,1.50,,
February,,,,,,,2.63,1.13,1.08,0.76,,
March,,,,,,,1.43,0.65,2.79,4.20,,
April,,,,,,,1.34,5.03,2.32,2.19,,
May,,,,,,,3.96,1.56,1.67,1.01,,
June,,,,,,,2.13,2.35,0.26,3.99,,
July,,,,,,,1.69,1.57,1.80,2.79,,
August,,,,,,,1.85,2.16,2.65,2.40,,
September,,,,,,,1.03,0.48,2.69,4.87,,
October,,,,,,,4.00,5.77,2.08,5.38,,
November,,,,,,,2.65,2.97,1.35,0.68,,
December,,,,,,,1.72,4.35,3.13,4.11,,
Total,,,,,,,29.08,28.96,22.89,33.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,29.08,28.96,22.89,33.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
