"BROADMOOR INSTITUTION",,,,,,,,,,,,
Grid ref,SU852638,Long,-0.777525,Lat,51.366882,,,,,,,
Station no,775,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.01,1.85,1.74,1.35,,
February,,,,,,,1.96,1.40,1.23,0.38,,
March,,,,,,,1.54,1.13,3.18,4.16,,
April,,,,,,,0.59,3.00,3.55,2.16,,
May,,,,,,,1.65,1.82,1.59,1.84,,
June,,,,,,,2.44,2.61,1.07,4.06,,
July,,,,,,,0.44,2.13,2.21,2.80,,
August,,,,,,,0.82,2.37,2.52,1.98,,
September,,,,,,2.13,1.25,0.73,2.02,3.63,,
October,,,,,,1.42,4.43,4.96,2.69,5.68,,
November,,,,,,2.92,3.23,2.41,0.93,0.89,,
December,,,,,,1.24,1.36,3.42,1.96,2.97,,
Total,,,,,,,23.72,27.83,24.69,31.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,7.71,23.72,27.83,24.69,31.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
