"WINTERBOURNE MONKTON RECTORY",,,,,,,,,,,,
Grid ref,SY680882,Long,-2.454402,Lat,50.692561,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.63,,,,
February,,,,,,,,1.41,,,,
March,,,,,,,,0.66,,,,
April,,,,,,,,4.29,,,,
May,,,,,,,,2.24,,,,
June,,,,,,,,2.57,,,,
July,,,,,,,,1.33,,,,
August,,,,,,,,1.45,,,,
September,,,,,,,,0.82,,,,
October,,,,,,,,10.33,,,,
November,,,,,,,,3.82,,,,
December,,,,,,,,4.57,,,,
Total,,,,,,,,35.12,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.12,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
