"GLENLYON MEGGERNIE CASTLE",,,,,,,,,,,,
Grid ref,NN551460,Long,-4.360777,Lat,56.583478,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.00,6.09,7.01,,
February,,,,,,,,4.32,3.31,2.50,,
March,,,,,,,,5.68,7.51,1.56,,
April,,,,,,,,4.92,1.75,4.69,,
May,,,,,,,,6.42,3.06,4.99,,
June,,,,,,,,5.60,3.41,2.23,,
July,,,,,,,,2.13,3.39,3.61,,
August,,,,,,,,6.66,4.47,2.62,,
September,,,,,,,,1.94,8.26,2.04,,
October,,,,,,,,6.13,2.47,10.68,,
November,,,,,,,,4.97,6.25,4.62,,
December,,,,,,,,6.51,6.09,5.59,,
Total,,,,,,,,58.28,56.06,52.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.28,56.06,52.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
