"CORYTON RECTORY",,,,,,,,,,,,
Grid ref,SX455836,Long,-4.185954,Lat,50.631569,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.18,1.87,1.44,2.75,,
February,,,,,,,4.59,1.93,2.79,0.70,,
March,,,,,,,1.79,0.96,4.11,5.53,,
April,,,,,,,1.35,4.81,3.07,2.81,,
May,,,,,,,2.81,3.22,1.76,1.36,,
June,,,,,,,1.47,2.41,0.97,2.68,,
July,,,,,,,1.18,2.49,2.57,2.75,,
August,,,,,,,2.32,1.57,3.66,2.17,,
September,,,,,,,1.05,0.71,2.03,1.15,,
October,,,,,,,5.93,7.90,1.69,7.37,,
November,,,,,,,3.38,3.28,1.86,1.58,,
December,,,,,,,4.23,5.44,3.96,4.97,,
Total,,,,,,,36.28,36.59,29.91,35.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.28,36.59,29.91,35.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
