"BANBURY ARK HOUSE SCHOOL",,,,,,,,,,,,
Grid ref,SP451407,Long,-1.343557,Lat,52.062848,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.13,1.01,1.02,2.36,,,,,,,,
February,3.88,0.50,1.37,1.42,,,,,,,,
March,0.60,2.05,1.66,3.78,,,,,,,,
April,0.87,2.79,1.76,1.94,,,,,,,,
May,1.71,1.06,1.98,5.41,,,,,,,,
June,2.10,0.78,2.37,3.81,,,,,,,,
July,0.73,4.25,1.30,4.36,,,,,,,,
August,4.93,2.15,3.46,3.48,,,,,,,,
September,0.53,1.32,1.90,2.04,,,,,,,,
October,2.52,1.40,2.42,6.49,,,,,,,,
November,2.26,0.90,2.04,2.12,,,,,,,,
December,3.64,4.09,1.78,1.98,,,,,,,,
Total,26.90,22.30,23.06,39.19,,,,,,,,
Calc annual,26.90,22.30,23.06,39.19,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
