"SEAHAM HALL",,,,,,,,,,,,
Grid ref,NZ420505,Long,-1.347446,Lat,54.847552,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.60,1.45,0.85,2.47,1.94,0.22,2.42,0.43,1.24,,,
February,5.81,1.85,1.35,0.95,2.42,0.69,1.13,0.94,0.67,,,
March,1.84,1.92,0.35,1.46,1.42,1.29,0.90,0.90,2.82,,,
April,0.53,1.12,1.55,1.56,0.83,2.88,1.20,2.35,1.93,,,
May,1.48,2.17,1.98,2.27,2.81,0.53,5.17,4.76,1.59,,,
June,3.77,1.41,2.33,3.21,1.46,0.71,0.96,2.94,0.58,,,
July,2.13,4.93,2.56,4.31,1.59,1.29,0.51,1.54,2.70,,,
August,5.23,2.10,1.75,2.28,3.77,3.54,2.40,2.02,1.68,,,
September,1.08,1.26,0.90,2.88,0.82,2.07,0.46,0.29,1.83,,,
October,6.48,1.98,1.81,8.91,0.52,2.60,4.82,4.12,1.13,,,
November,2.76,3.57,1.29,2.11,2.35,4.71,3.45,1.70,1.57,,,
December,2.26,3.72,2.75,2.01,2.09,0.37,2.16,3.25,1.03,,,
Total,35.97,27.48,19.47,34.42,22.02,20.90,25.58,25.24,18.77,,,
Calc annual,35.97,27.48,19.47,34.42,22.02,20.90,25.58,25.24,18.77,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,NaN,,
