"DOO CASTLE (TOBERCURRY)",,,,,,,,,,,,
Grid ref,IG5830008100,Long,-8.637033,Lat,54.020579,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.57,3.93,3.72,5.53,4.05,3.11,5.32,2.15,3.84,,,
February,3.33,1.53,2.39,5.91,4.84,2.94,3.26,2.73,2.83,,,
March,0.91,3.96,2.89,6.35,2.75,5.32,2.97,4.75,4.81,,,
April,3.35,3.72,2.47,4.40,3.26,2.09,2.33,2.74,2.65,,,
May,3.91,2.30,2.89,2.45,2.38,1.15,5.93,4.76,3.82,,,
June,4.50,3.09,1.95,1.02,2.10,2.08,2.00,4.47,4.03,,,
July,1.68,1.11,2.97,5.72,6.16,1.52,2.57,2.19,1.69,,,
August,4.79,4.17,2.00,7.25,5.78,5.27,3.48,3.51,3.74,,,
September,2.32,5.29,1.95,4.47,3.55,2.07,1.94,1.72,5.68,,,
October,5.49,4.31,3.15,6.29,2.38,2.42,4.54,4.52,1.22,,,
November,5.68,4.30,5.26,3.00,3.64,4.12,2.74,3.09,3.17,,,
December,6.09,5.42,5.10,3.68,3.50,3.19,4.23,4.29,5.23,,,
Total,47.62,43.13,36.74,56.07,44.39,35.28,41.31,40.92,42.71,,,
Calc annual,47.62,43.13,36.74,56.07,44.39,35.28,41.31,40.92,42.71,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,,
