"OBAN (GLEANN-A-BHEARRAIDH RES.)",,,,,,,,,,,,
Grid ref,ZZ000000,Long,NaN,Lat,NaN,,,,,,,
Station no,5412,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.39,2.39,5.26,5.97,6.01,4.96,7.22,5.25,5.50,9.30,,
February,2.43,1.78,1.15,7.52,4.17,4.90,4.62,7.21,4.90,3.80,,
March,0.44,1.70,5.35,10.57,2.52,5.57,4.46,8.44,5.50,0.78,,
April,4.22,2.19,2.61,3.05,8.56,3.63,2.91,3.35,2.50,3.95,,
May,3.45,0.64,1.96,3.72,5.91,4.14,2.48,4.00,4.20,4.61,,
June,1.65,4.75,3.58,1.83,3.01,1.28,2.95,4.50,4.25,2.26,,
July,2.41,2.29,4.23,5.19,2.90,5.68,5.31,4.10,3.60,6.22,,
August,2.55,4.13,3.97,9.02,5.47,5.27,5.71,6.90,5.70,5.84,,
September,2.15,3.78,5.30,3.73,6.25,5.79,3.78,4.40,9.01,3.00,,
October,8.34,5.22,3.61,11.07,8.55,6.47,7.65,4.30,3.30,9.35,,
November,3.64,4.49,4.94,9.25,3.78,5.78,4.05,3.80,6.10,3.85,,
December,7.06,4.46,7.02,5.16,6.33,6.29,8.36,7.20,8.00,7.95,,
Total,44.73,37.82,48.98,76.08,63.46,59.76,59.50,63.45,62.56,60.91,,
Calc annual,44.73,37.82,48.98,76.08,63.46,59.76,59.50,63.45,62.56,60.91,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
