"LANCASTER BRETTARGH HOUSE",,,,,,,,,,,,
Grid ref,SD474605,Long,-2.804650,Lat,54.037782,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.31,2.11,4.54,2.05,,,,
February,,,,,3.47,1.77,2.79,1.73,,,,
March,,,,,2.59,2.69,3.07,4.09,,,,
April,,,,,3.10,3.41,1.76,1.57,,,,
May,,,,,2.91,1.56,5.23,4.31,,,,
June,,,,,1.53,2.33,2.38,7.56,,,,
July,,,,,1.41,1.59,2.40,3.28,,,,
August,,,,,3.11,4.40,4.74,4.80,,,,
September,,,,,2.10,3.31,1.00,0.90,,,,
October,,,,,3.50,2.78,6.66,,,,,
November,,,,,2.87,4.12,3.43,,,,,
December,,,,,3.08,1.11,3.53,,,,,
Total,,,,,33.98,31.18,41.53,,,,,
Calc annual,0.00,0.00,0.00,0.00,33.98,31.18,41.53,30.29,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,NaN,NaN,NaN,,
