"FORFAR LILYFIELD",,,,,,,,,,,,
Grid ref,NO459507,Long,-2.883781,Lat,56.644973,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.93,2.47,1.15,4.42,1.97,0.69,3.10,1.55,1.91,2.23,,
February,3.88,1.64,1.32,4.15,4.25,1.08,1.37,1.66,1.04,0.64,,
March,1.74,1.96,0.96,3.91,2.35,3.22,1.39,1.46,3.86,4.95,,
April,1.45,3.07,3.15,1.33,1.68,2.06,0.73,3.34,0.84,3.64,,
May,2.10,1.94,2.15,1.68,2.33,1.91,5.43,4.46,1.54,3.35,,
June,2.11,1.75,1.53,1.57,0.80,1.35,0.62,4.55,1.17,0.57,,
July,2.35,2.43,2.85,5.92,1.17,1.81,1.78,2.61,1.81,2.40,,
August,3.20,4.14,3.41,4.66,5.21,3.59,4.92,2.95,3.25,1.54,,
September,1.79,1.75,1.53,3.33,2.56,1.21,1.00,0.92,4.02,1.00,,
October,3.16,2.31,1.47,6.24,0.71,2.62,3.88,4.91,3.40,3.22,,
November,3.70,1.59,5.40,1.09,0.76,5.98,4.43,2.31,2.07,0.41,,
December,3.81,3.68,4.42,3.58,2.08,1.57,1.85,3.98,4.00,4.37,,
Total,33.22,28.73,29.34,41.88,25.87,27.09,30.50,34.70,28.91,28.32,,
Calc annual,33.22,28.73,29.34,41.88,25.87,27.09,30.50,34.70,28.91,28.32,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
