"BATH, ROYAL CRESCENT",,,,,,,,,,,,
Grid ref,ST744654,Long,-2.369278,Lat,51.387061,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.77,,
February,,,,,,,,,,0.76,,
March,,,,,,,,,,3.16,,
April,,,,,,,,,,2.51,,
May,,,,,,,,,,1.55,,
June,,,,,,,,,,3.10,,
July,,,,,,,,,,2.29,,
August,,,,,,,,,,2.79,,
September,,,,,,,,,,2.81,,
October,,,,,,,,,,4.69,,
November,,,,,,,,,,1.36,,
December,,,,,,,,,,4.75,,
Total,,,,,,,,,,31.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
