"BATTLE NORTH LODGE",,,,,,,,,,,,
Grid ref,TQ7343915947,Long,0.466020,Lat,50.916923,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.48,1.01,,
February,,,,,,,,,1.11,0.53,,
March,,,,,,,,,2.96,3.79,,
April,,,,,,,,,2.25,2.38,,
May,,,,,,,,,1.61,1.35,,
June,,,,,,,,,0.94,2.07,,
July,,,,,,,,,3.08,3.36,,
August,,,,,,,,,4.28,3.72,,
September,,,,,,,,,1.60,3.51,,
October,,,,,,,,,2.22,8.00,,
November,,,,,,,,,1.34,1.12,,
December,,,,,,,,,3.62,6.23,,
Total,,,,,,,,,26.49,37.07,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.49,37.07,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
