"FALKIRK KERSE NO. 2 GAUGE",,,,,,,,,,,,
Grid ref,NS912817,Long,-3.746832,Lat,56.015830,,,,,,,
Station no,5346/1,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.77,2.20,2.59,7.56,3.10,1.25,4.51,1.43,4.45,4.64,,
February,2.63,0.81,1.36,7.85,2.89,1.86,1.41,3.26,1.85,1.19,,
March,0.98,2.30,2.10,8.66,1.81,3.40,3.43,2.88,3.99,2.58,,
April,2.07,2.54,0.68,1.57,4.09,1.33,0.98,1.15,1.00,2.70,,
May,1.73,1.56,1.79,1.26,2.77,1.45,4.36,4.16,2.65,2.48,,
June,3.58,2.23,1.92,1.80,1.27,0.70,1.43,3.90,1.80,1.47,,
July,2.59,1.17,2.63,4.22,1.67,3.00,2.43,2.13,3.15,2.40,,
August,3.55,3.92,2.00,4.19,4.11,2.89,4.49,3.94,2.63,2.18,,
September,3.10,1.69,1.86,2.26,2.10,1.35,1.88,1.50,4.51,1.59,,
October,4.77,2.84,1.46,6.58,1.24,2.34,4.46,5.30,1.64,4.39,,
November,4.40,2.59,1.60,1.30,1.40,4.07,3.67,1.91,2.98,0.70,,
December,5.80,3.43,3.47,2.18,3.80,3.25,2.53,5.12,2.00,5.82,,
Total,39.97,27.28,23.46,49.43,30.25,26.89,35.58,36.68,32.65,32.14,,
Calc annual,39.97,27.28,23.46,49.43,30.25,26.89,35.58,36.68,32.65,32.14,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
