"DUBLIN LEESON PARK",,,,,,,,,,,,
Grid ref,IO1650132161,Long,-6.251978,Lat,53.327102,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.02,4.38,0.43,2.13,1.22,,
February,,,,,,0.78,1.75,1.35,1.35,0.56,,
March,,,,,,2.81,1.58,1.73,3.26,2.75,,
April,,,,,,2.79,1.64,2.59,2.52,3.93,,
May,,,,,,1.40,2.36,3.26,1.35,1.23,,
June,,,,,,1.22,1.41,2.68,1.66,1.80,,
July,,,,,,0.76,1.05,1.88,2.17,3.27,,
August,,,,,,7.65,1.64,2.35,3.28,1.32,,
September,,,,,,1.19,0.61,0.57,2.27,1.76,,
October,,,,,,1.33,3.39,5.53,1.24,2.72,,
November,,,,,,3.80,1.48,2.81,1.31,1.39,,
December,,,,,,1.41,1.82,2.19,1.86,4.74,,
Total,,,,,,27.16,23.11,27.37,24.40,26.69,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.16,23.11,27.37,24.40,26.69,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,-0.00,,
