"WHITLEY BRIDGE ROALL PUMPING STATION",,,,,,,,,,,,
Grid ref,SE568243,Long,-1.140902,Lat,53.712038,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.68,,
February,,,,,,,,,,0.43,,
March,,,,,,,,,,1.99,,
April,,,,,,,,,,1.55,,
May,,,,,,,,,,1.74,,
June,,,,,,,,,,3.01,,
July,,,,,,,,,,2.94,,
August,,,,,,,,,,3.11,,
September,,,,,,,,,,1.48,,
October,,,,,,,,,,1.93,,
November,,,,,,,,,0.88,0.09,,
December,,,,,,,,,1.01,3.95,,
Total,,,,,,,,,,22.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,22.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
