"BUDLEIGH SALTERTON RAVENSHAW",,,,,,,,,,,,
Grid ref,SY057879,Long,-3.336162,Lat,50.683088,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.75,1.05,,,,,,,,,
February,,1.00,1.50,,,,,,,,,
March,,3.09,1.80,,,,,,,,,
April,,3.10,1.35,,,,,,,,,
May,,1.00,1.80,,,,,,,,,
June,,1.50,2.85,,,,,,,,,
July,,3.70,2.03,,,,,,,,,
August,,1.30,2.80,,,,,,,,,
September,,3.50,2.50,,,,,,,,,
October,,1.60,2.40,,,,,,,,,
November,,0.65,3.95,,,,,,,,,
December,,6.55,1.90,,,,,,,,,
Total,,29.74,25.93,,,,,,,,,
Calc annual,0.00,29.74,25.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
