"SITTINGBOURNE SHARSTED COURT",,,,,,,,,,,,
Grid ref,TQ951582,Long,0.796628,Lat,51.289506,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.58,0.67,0.69,2.11,3.39,0.88,2.82,0.45,1.07,0.58,,
February,5.22,1.37,1.07,1.49,2.66,0.94,1.70,1.57,1.11,1.89,,
March,1.25,2.30,1.21,2.26,1.99,2.20,1.46,0.61,2.23,2.62,,
April,0.85,1.76,0.51,1.92,1.49,2.12,0.78,2.01,1.91,1.32,,
May,1.00,0.66,1.82,3.15,1.65,1.29,1.90,1.73,1.39,1.08,,
June,2.99,0.63,2.09,5.49,1.57,5.85,2.37,1.61,0.70,2.81,,
July,1.16,1.25,1.11,4.75,1.68,0.67,1.88,1.72,2.53,1.73,,
August,2.46,1.35,2.88,2.76,1.31,2.06,0.31,1.45,2.86,1.94,,
September,0.47,1.06,1.01,2.26,0.86,1.67,1.79,0.38,1.20,2.71,,
October,1.54,1.29,1.68,4.51,1.82,2.07,3.03,4.36,1.34,5.23,,
November,2.18,1.03,1.77,2.60,1.55,3.29,4.77,1.79,0.94,1.09,,
December,2.47,4.30,2.00,1.87,2.79,0.48,1.30,2.11,2.52,3.68,,
Total,25.17,17.67,17.84,35.17,22.76,23.52,24.11,19.79,19.80,26.68,,
Calc annual,25.17,17.67,17.84,35.17,22.76,23.52,24.11,19.79,19.80,26.68,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
