"KETTERING QUEENSBURY ROAD",,,,,,,,,,,,
Grid ref,SP865780,Long,-0.730264,Lat,52.393198,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.20,1.07,0.78,2.14,2.20,1.06,4.15,,,,,
February,4.63,1.11,1.67,0.88,3.15,0.68,2.04,,,,,
March,0.65,2.56,1.32,2.91,1.50,2.66,1.68,,,,,
April,0.81,2.60,1.19,1.99,1.22,2.16,0.53,,,,,
May,1.28,1.59,2.15,2.08,2.03,1.17,1.50,,,,,
June,1.87,1.85,2.46,2.91,0.94,2.67,4.45,,,,,
July,1.62,2.71,1.16,2.50,1.96,1.09,1.17,,,,,
August,3.76,1.85,2.79,3.41,2.25,2.60,0.90,,,,,
September,0.55,1.13,1.52,2.86,1.72,1.87,1.21,,,,,
October,1.44,1.58,1.76,5.80,0.69,1.11,4.32,,,,,
November,2.28,0.88,1.89,1.60,1.25,2.46,,,,,,
December,3.92,3.74,1.12,1.26,1.65,0.93,,,,,,
Total,26.01,22.67,19.81,30.34,20.56,20.46,,,,,,
Calc annual,26.01,22.67,19.81,30.34,20.56,20.46,21.95,0.00,0.00,0.00,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
