"HENLEY-ON-THAMES (GREENLANDS)",,,,,,,,,,,,
Grid ref,SU775854,Long,-0.883380,Lat,51.562164,,,,,,,
Station no,997,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.68,1.19,1.06,2.94,2.99,0.70,4.17,0.72,1.65,1.00,,
February,3.99,1.69,1.46,0.99,3.00,0.68,2.20,1.48,1.58,0.41,,
March,1.84,1.57,1.76,3.61,1.26,4.45,1.28,1.10,3.15,3.35,,
April,1.08,2.58,1.16,2.56,1.46,2.06,0.67,2.64,3.94,2.04,,
May,1.03,0.67,2.14,3.67,2.72,1.65,1.99,2.11,2.14,1.66,,
June,2.17,1.43,2.97,6.46,0.98,3.94,2.30,2.41,1.10,4.72,,
July,1.12,2.06,0.70,2.96,2.28,0.56,0.40,2.10,2.73,2.97,,
August,3.86,2.37,3.39,3.42,2.04,2.57,1.00,1.97,3.19,2.19,,
September,0.39,1.17,0.73,1.92,1.34,1.59,0.96,0.67,2.28,2.95,,
October,2.33,1.98,1.79,7.99,1.49,1.45,4.98,5.02,1.89,4.48,,
November,2.12,0.46,2.44,2.31,1.85,3.43,3.06,2.41,1.05,0.63,,
December,3.52,3.61,1.43,2.40,2.75,1.20,2.77,3.60,2.47,2.72,,
Total,26.13,20.78,21.03,41.23,24.16,24.28,25.78,26.23,27.17,29.12,,
Calc annual,26.13,20.78,21.03,41.23,24.16,24.28,25.78,26.23,27.17,29.12,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
