"BELTURBET CLOVERHILL",,,,,,,,,,,,
Grid ref,IH4122315244,Long,-7.370778,Lat,54.084815,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.42,3.66,2.57,5.24,3.20,3.25,3.90,1.82,3.05,2.72,,
February,3.07,1.29,2.56,3.83,4.13,2.24,2.26,2.21,3.11,1.42,,
March,0.67,2.94,2.19,6.30,2.82,4.14,2.59,3.25,3.63,3.18,,
April,2.15,3.60,2.95,1.38,2.13,1.78,1.69,1.86,2.06,3.88,,
May,3.00,2.03,3.11,2.82,2.16,2.63,4.10,2.76,3.12,2.44,,
June,3.04,3.10,1.50,1.72,1.71,1.35,1.22,4.39,2.26,1.95,,
July,1.88,0.86,2.87,5.03,3.84,1.78,2.93,2.15,2.04,3.03,,
August,4.62,4.60,2.70,4.94,5.21,6.90,4.60,2.59,1.97,1.50,,
September,1.75,3.50,2.88,3.55,2.95,1.73,1.14,1.65,5.04,2.35,,
October,4.66,3.91,2.01,4.51,2.86,2.48,4.88,3.45,1.60,4.69,,
November,4.83,3.82,3.82,2.07,2.47,3.01,2.14,2.64,3.30,1.57,,
December,4.58,4.12,2.86,2.87,2.31,2.36,3.25,3.12,3.80,4.04,,
Total,37.67,37.43,32.02,44.26,35.79,33.65,34.70,31.89,34.98,32.77,,
Calc annual,37.67,37.43,32.02,44.26,35.79,33.65,34.70,31.89,34.98,32.77,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
