"AYR NEWARK CASTLE",,,,,,,,,,,,
Grid ref,NS324171,Long,-4.649514,Lat,55.419069,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,-999.00,2.54,5.29,,,,,,,,,
February,2.59,1.47,1.58,,,,,,,,,
March,0.27,2.16,3.73,,,,,,,,,
April,2.46,3.58,1.25,,,,,,,,,
May,3.20,1.47,2.78,,,,,,,,,
June,1.70,3.68,1.63,,,,,,,,,
July,3.70,1.05,2.68,,,,,,,,,
August,5.14,5.09,3.47,,,,,,,,,
September,3.36,4.28,3.90,,,,,,,,,
October,6.47,4.61,2.72,,,,,,,,,
November,6.11,4.85,2.82,,,,,,,,,
December,6.33,4.70,3.32,,,,,,,,,
Total,47.31,39.48,35.17,,,,,,,,,
Calc annual,41.33,39.48,35.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,5.98,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
