"BUCKHURST HILL RESERVOIR",,,,,,,,,,,,
Grid ref,TQ407938,Long,0.031231,Lat,51.625434,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.41,0.42,0.76,1.81,1.91,1.17,3.77,0.95,1.03,0.72,,
February,2.90,1.14,1.30,0.68,2.41,0.70,1.89,1.14,1.51,0.77,,
March,0.63,1.94,1.55,1.96,1.69,2.69,0.91,0.75,2.12,2.52,,
April,0.84,1.59,0.42,1.73,0.79,1.81,0.42,2.99,2.67,1.70,,
May,1.03,1.44,3.03,2.12,1.67,0.81,1.46,1.88,1.78,1.42,,
June,1.80,0.93,3.20,5.60,0.92,3.08,2.13,2.12,2.11,3.97,,
July,1.60,2.12,1.46,7.36,1.84,1.52,0.72,2.51,4.56,3.44,,
August,2.62,1.55,3.46,4.44,1.76,2.20,0.88,1.70,2.77,1.97,,
September,0.84,1.57,0.65,2.52,1.02,2.42,1.64,0.75,1.89,2.40,,
October,1.92,2.29,1.09,5.90,1.15,0.88,3.18,2.70,1.51,3.96,,
November,1.81,0.65,1.54,1.73,1.46,2.62,3.83,2.19,0.63,0.85,,
December,2.73,2.88,1.23,1.15,1.41,0.68,1.96,3.54,1.85,2.68,,
Total,21.13,18.52,19.69,37.00,18.03,20.58,22.79,23.22,24.43,26.40,,
Calc annual,21.13,18.52,19.69,37.00,18.03,20.58,22.79,23.22,24.43,26.40,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
