"CARTMEL BROUGHTON HALL",,,,,,,,,,,,
Grid ref,SD378809,Long,-2.955423,Lat,54.220030,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.54,2.81,3.08,5.13,5.13,,,,,,,
February,4.83,1.10,2.02,3.37,3.63,,,,,,,
March,0.45,3.49,3.00,4.42,3.51,,,,,,,
April,3.11,2.97,1.42,1.79,3.84,,,,,,,
May,2.40,1.78,2.71,4.00,2.58,,,,,,,
June,3.97,2.46,1.20,2.63,1.55,,,,,,,
July,2.63,1.42,3.62,4.95,2.53,,,,,,,
August,6.69,4.64,4.10,7.32,3.54,,,,,,,
September,3.46,2.00,2.38,8.05,2.85,,,,,,,
October,8.85,4.19,4.07,9.75,3.57,,,,,,,
November,4.80,5.83,4.42,4.07,4.38,,,,,,,
December,7.53,5.33,4.89,4.21,5.01,,,,,,,
Total,55.26,38.02,36.91,59.69,42.12,,,,,,,
Calc annual,55.26,38.02,36.91,59.69,42.12,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
