"BLAENAVON GAS WORKS",,,,,,,,,,,,
Grid ref,SO255084,Long,-3.081050,Lat,51.769298,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.70,4.27,,,,,,,,,,
February,10.03,2.58,,,,,,,,,,
March,1.58,6.30,,,,,,,,,,
April,2.55,7.01,,,,,,,,,,
May,3.15,2.04,,,,,,,,,,
June,2.52,2.12,,,,,,,,,,
July,3.28,2.90,,,,,,,,,,
August,5.73,3.69,,,,,,,,,,
September,1.94,3.92,,,,,,,,,,
October,8.50,2.75,,,,,,,,,,
November,7.00,1.73,,,,,,,,,,
December,9.50,6.87,,,,,,,,,,
Total,61.48,46.18,,,,,,,,,,
Calc annual,61.48,46.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
