"HEXHAM BEAUFRONT CASTLE",,,,,,,,,,,,
Grid ref,NY963659,Long,-2.059354,Lat,54.987678,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.82,,
February,,,,,,,,,,2.64,,
March,,,,,,,,,,3.44,,
April,,,,,,,,,,2.37,,
May,,,,,,,,,,1.35,,
June,,,,,,,,,,2.40,,
July,,,,,,,,,,2.60,,
August,,,,,,,,,,2.45,,
September,,,,,,,,,,1.79,,
October,,,,,,,,,,2.15,,
November,,,,,,,,,,0.74,,
December,,,,,,,,,,3.43,,
Total,,,,,,,,,,27.18,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.18,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
