"SKYE, ARMERDALE, ARDVASAR",,,,,,,,,,,,
Grid ref,NG633033,Long,-5.905440,Lat,57.059750,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.61,6.62,8.21,,,,,,,,
February,,3.42,2.51,8.52,,,,,,,,
March,,4.56,8.51,8.29,,,,,,,,
April,,4.77,2.52,3.21,,,,,,,,
May,,1.06,4.87,3.50,,,,,,,,
June,,4.18,0.61,2.30,,,,,,,,
July,,4.09,4.16,5.94,,,,,,,,
August,,5.97,5.54,8.77,,,,,,,,
September,,5.09,5.64,4.70,,,,,,,,
October,,7.57,5.76,10.84,,,,,,,,
November,,7.55,5.47,12.62,,,,,,,,
December,,9.11,5.05,6.77,,,,,,,,
Total,,62.98,57.26,83.67,,,,,,,,
Calc annual,0.00,62.98,57.26,83.67,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
