"WASKERLEY WW SHIELD GREEN WASKERLEY 2",,,,,,,,,,,,
Grid ref,NZ052470,Long,-1.920604,Lat,54.817826,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.25,1.01,0.89,2.81,2.46,0.49,2.58,0.39,1.35,0.84,,
February,5.12,0.78,0.72,2.31,2.43,0.47,0.82,1.45,1.18,1.37,,
March,1.23,1.24,0.41,3.10,2.03,2.91,1.32,1.25,4.83,3.19,,
April,1.52,1.70,2.17,1.60,1.55,1.85,1.35,2.01,2.98,1.99,,
May,1.54,2.02,2.14,3.56,1.90,1.45,5.03,3.27,2.85,1.96,,
June,3.95,2.17,2.93,1.94,3.34,1.84,1.03,3.85,0.97,3.57,,
July,1.12,2.64,3.55,5.64,1.71,0.52,0.65,2.39,2.61,1.94,,
August,6.76,2.45,1.83,2.28,3.49,4.21,3.87,1.76,0.91,3.12,,
September,0.75,1.54,0.82,4.03,0.65,2.54,1.23,0.45,3.64,3.69,,
October,5.41,2.93,3.69,9.41,1.05,2.71,4.72,5.89,2.63,2.46,,
November,3.77,4.45,1.53,1.44,2.44,4.36,3.68,2.81,1.73,0.44,,
December,2.54,1.23,3.34,2.02,1.39,1.88,1.57,4.26,0.78,2.11,,
Total,37.96,24.16,24.02,40.14,24.44,25.23,27.85,29.78,26.46,26.68,,
Calc annual,37.96,24.16,24.02,40.14,24.44,25.23,27.85,29.78,26.46,26.68,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
