"GLASGOW SPRINGBURN PARK",,,,,,,,,,,,
Grid ref,NS611685,Long,-4.222495,Lat,55.889541,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.47,2.58,2.86,4.86,3.31,1.98,3.79,3.02,2.85,4.12,,
February,2.28,1.90,1.14,4.90,1.87,2.02,2.10,2.59,1.98,1.63,,
March,0.42,2.11,2.12,5.74,1.34,2.95,3.15,4.48,3.92,2.25,,
April,2.27,2.51,0.65,0.82,3.97,2.31,1.15,1.02,0.96,3.92,,
May,2.02,1.50,1.79,1.74,3.10,1.48,3.46,3.22,2.36,2.49,,
June,2.32,3.22,2.06,2.35,1.54,1.34,1.66,4.32,1.71,3.68,,
July,2.69,1.44,2.88,3.71,2.73,2.61,1.95,3.00,2.13,4.02,,
August,3.99,3.85,2.37,5.66,3.37,3.15,4.89,5.39,1.83,3.77,,
September,3.69,2.03,2.68,3.78,2.09,2.04,1.74,1.00,4.40,2.11,,
October,4.86,3.92,1.53,7.22,1.52,2.08,4.23,5.67,1.53,5.60,,
November,6.56,2.40,1.83,2.63,1.70,3.28,4.56,1.80,2.63,2.27,,
December,6.50,2.98,3.22,2.44,2.92,3.46,3.64,4.17,3.78,3.99,,
Total,42.07,30.44,25.13,45.85,29.46,28.70,36.32,39.68,30.08,39.85,,
Calc annual,42.07,30.44,25.13,45.85,29.46,28.70,36.32,39.68,30.08,39.85,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
