"WORCESTER DIGLIS LOCK",,,,,,,,,,,,
Grid ref,SO847533,Long,-2.225166,Lat,52.177739,,,,,,,
Station no,2388,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.60,1.65,0.77,2.65,2.26,0.83,3.95,0.87,0.59,0.81,,
February,4.49,1.12,1.40,1.92,3.73,0.74,1.56,0.73,1.16,0.31,,
March,0.83,2.39,1.44,3.60,1.15,3.17,0.96,0.62,2.64,2.27,,
April,0.99,2.42,2.34,1.78,1.08,1.86,1.26,2.08,2.88,1.40,,
May,2.44,1.09,2.47,6.10,2.10,0.33,1.91,2.74,1.90,0.75,,
June,1.93,2.63,2.52,2.90,0.67,3.57,2.63,2.24,2.21,2.68,,
July,1.96,2.69,1.51,3.35,2.89,1.13,0.96,2.47,1.78,2.11,,
August,2.39,2.31,3.62,3.49,1.65,4.61,0.80,2.24,2.34,1.42,,
September,0.98,1.12,1.12,2.95,2.00,0.89,0.59,0.45,2.08,2.82,,
October,2.41,1.38,2.82,5.16,0.54,1.37,4.10,5.88,1.76,1.95,,
November,2.16,0.78,2.25,1.25,1.03,2.56,2.21,1.89,1.19,0.60,,
December,4.63,3.54,1.49,1.15,2.01,0.66,1.57,3.82,1.68,3.00,,
Total,28.81,23.12,23.75,36.30,21.11,21.72,22.50,26.03,22.21,20.12,,
Calc annual,28.81,23.12,23.75,36.30,21.11,21.72,22.50,26.03,22.21,20.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
