"PONTYPOOL, CWM-AFRON RESERVOIR",,,,,,,,,,,,
Grid ref,SO268071,Long,-3.061940,Lat,51.757783,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.94,8.07,8.57,1.74,,,,,,
February,,,2.81,5.63,9.03,1.52,,,,,,
March,,,2.76,9.17,3.09,8.13,,,,,,
April,,,4.33,2.49,3.16,5.45,,,,,,
May,,,2.33,6.99,3.31,0.88,,,,,,
June,,,3.87,3.33,1.54,3.60,,,,,,
July,,,2.25,3.35,3.55,2.65,,,,,,
August,,,4.08,8.06,3.42,5.59,,,,,,
September,,,3.63,5.68,3.36,3.23,,,,,,
October,,,4.85,14.27,1.57,2.71,,,,,,
November,,,6.76,2.70,2.62,7.19,,,,,,
December,,,4.67,5.71,5.14,1.76,,,,,,
Total,,,45.28,75.45,48.36,44.45,,,,,,
Calc annual,0.00,0.00,45.28,75.45,48.36,44.45,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
