"NAIRN ACHAREIDH",,,,,,,,,,,,
Grid ref,NH869568,Long,-3.893427,Lat,57.587024,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.03,1.32,1.33,2.98,0.60,1.05,1.81,1.31,2.04,2.50,,
February,1.09,1.97,0.89,2.52,1.91,1.78,1.89,1.38,-999.00,0.79,,
March,1.80,1.65,1.32,2.16,0.45,3.14,2.32,1.08,3.04,3.69,,
April,1.89,1.22,0.56,1.23,1.42,1.85,1.62,1.06,0.97,2.03,,
May,1.09,1.21,2.22,1.44,1.33,1.84,3.02,3.03,1.26,2.02,,
June,1.53,2.18,2.67,2.42,1.17,0.78,0.56,4.74,1.26,1.82,,
July,2.90,2.55,2.53,3.36,0.45,2.29,2.15,2.33,0.92,2.41,,
August,3.55,2.06,2.32,2.19,4.11,2.32,3.55,3.12,1.56,1.64,,
September,1.84,1.23,1.21,1.56,1.65,1.47,1.51,0.69,4.78,1.78,,
October,3.22,2.38,1.67,3.25,1.24,2.70,3.03,4.31,0.56,4.40,,
November,3.20,2.63,0.48,2.19,1.53,3.59,4.36,2.05,2.18,1.57,,
December,3.99,2.85,2.36,0.64,1.82,0.88,1.75,1.41,1.18,1.94,,
Total,29.13,23.25,19.56,25.94,17.68,23.69,27.57,26.51,21.53,26.59,,
Calc annual,29.13,23.25,19.56,25.94,17.68,23.69,27.57,26.51,19.75,26.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,1.78,0.00,,
