"WOLVERHAMPTON TOWN HALL",,,,,,,,,,,,
Grid ref,SO913986,Long,-2.129839,Lat,52.585135,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.96,1.45,1.09,1.72,2.09,0.94,3.27,1.24,0.97,1.17,,
February,3.35,1.40,1.12,1.35,3.06,0.83,1.97,1.40,1.32,0.55,,
March,0.77,1.91,1.39,4.52,1.63,2.77,1.11,1.04,2.88,2.17,,
April,0.92,1.83,1.73,1.57,1.38,1.82,1.55,1.91,2.19,1.75,,
May,1.94,1.10,3.29,2.11,2.03,0.63,2.62,3.75,3.51,1.06,,
June,1.78,3.10,1.85,1.33,0.44,2.93,2.40,2.78,2.07,4.19,,
July,2.27,2.56,1.80,1.47,2.71,1.91,0.76,2.23,2.01,4.01,,
August,2.60,2.61,4.47,3.91,2.66,4.73,1.60,2.60,2.99,1.73,,
September,1.13,1.09,1.55,3.52,1.89,1.97,1.26,0.91,1.97,2.80,,
October,3.08,2.30,2.37,5.48,0.61,1.48,4.16,4.61,1.77,3.45,,
November,2.20,1.52,1.99,1.86,1.37,2.38,2.85,2.02,1.84,0.83,,
December,3.72,3.15,1.50,1.58,1.55,0.67,2.09,2.27,1.58,3.80,,
Total,26.72,24.02,24.15,30.42,21.42,23.06,25.64,26.76,25.10,27.51,,
Calc annual,26.72,24.02,24.15,30.42,21.42,23.06,25.64,26.76,25.10,27.51,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
