"DOUGLAS (MONKSFOOT)",,,,,,,,,,,,
Grid ref,NS787285,Long,-3.923536,Lat,55.535099,,,,,,,
Station no,1200674,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.95,1.45,2.57,1.05,3.53,3.48,,
February,,,,,1.95,1.96,1.94,1.50,3.07,3.60,,
March,,,,,1.52,3.82,2.22,2.70,4.05,3.54,,
April,,,,,3.35,2.18,1.41,1.45,1.47,3.13,,
May,,,,,2.69,1.92,4.04,2.67,2.13,2.03,,
June,,,,,1.83,1.98,1.81,3.57,2.91,2.15,,
July,,,,,3.16,2.12,2.56,2.60,3.09,6.60,,
August,,,,,4.61,3.99,5.67,4.66,4.26,3.01,,
September,,,,,1.98,2.17,1.13,0.78,5.55,3.25,,
October,,,,9.72,2.36,2.58,5.63,7.59,0.94,7.10,,
November,,,,3.74,2.02,2.87,3.45,3.00,3.12,1.87,,
December,,,,3.59,3.13,2.91,1.74,4.47,2.39,4.53,,
Total,,,,,32.55,29.95,34.17,36.04,36.51,44.29,,
Calc annual,0.00,0.00,0.00,17.05,32.55,29.95,34.17,36.04,36.51,44.29,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,,
