"STOBO CASTLE",,,,,,,,,,,,
Grid ref,NT179368,Long,-3.305113,Lat,55.617834,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.70,2.30,2.50,5.60,1.20,0.50,4.65,1.50,3.77,5.85,,
February,2.80,1.60,0.40,6.70,2.40,2.90,2.03,2.39,3.06,1.97,,
March,0.20,1.50,1.50,8.50,2.10,4.80,2.90,2.96,5.59,3.42,,
April,2.00,2.60,1.80,0.70,2.70,2.00,0.65,2.09,1.60,3.24,,
May,1.10,1.90,1.90,0.50,2.00,1.00,5.90,3.37,2.10,2.25,,
June,4.10,2.00,0.80,1.10,3.00,0.75,1.35,3.29,3.20,2.15,,
July,3.00,1.00,2.20,3.50,2.00,1.30,2.11,2.99,1.50,3.76,,
August,3.00,2.30,1.20,4.50,3.90,3.40,6.66,4.12,3.73,2.23,,
September,2.20,1.20,1.90,1.80,1.10,0.90,0.50,0.71,4.34,1.60,,
October,4.40,5.50,1.00,8.20,1.00,3.00,6.11,6.47,1.20,5.63,,
November,3.70,4.10,1.80,2.80,1.90,1.90,4.02,2.22,4.12,1.41,,
December,7.10,6.80,4.70,1.40,2.50,1.70,3.25,4.41,3.75,4.52,,
Total,38.30,32.80,21.70,45.30,25.80,24.15,40.13,36.52,-999.00,38.03,,
Calc annual,38.30,32.80,21.70,45.30,25.80,24.15,40.13,36.52,37.96,38.03,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1036.96,0.00,,
