"HOMECASTLE MAREHAM-LE-FEN",,,,,,,,,,,,
Grid ref,TF276609,Long,-0.094334,Lat,53.129998,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.17,0.78,0.92,1.67,1.19,0.72,2.52,0.99,1.25,1.51,,
February,4.75,1.74,1.42,0.34,2.93,0.68,2.31,1.61,1.65,0.67,,
March,0.53,1.83,1.43,3.04,1.86,1.73,2.29,1.72,2.19,3.60,,
April,1.17,1.34,1.28,1.27,0.91,1.94,0.65,1.73,2.43,1.69,,
May,1.39,1.44,2.48,2.54,1.71,0.90,1.92,3.89,1.58,0.95,,
June,2.69,0.90,2.93,1.19,0.83,2.30,1.87,2.06,1.94,3.65,,
July,1.59,2.38,1.57,2.20,3.97,1.14,0.37,1.98,2.82,4.79,,
August,4.02,1.78,2.55,4.52,1.70,3.03,2.37,1.82,2.41,3.73,,
September,1.32,0.92,1.06,3.10,2.67,1.92,1.38,0.71,1.40,1.34,,
October,2.39,2.24,2.23,5.05,1.54,2.09,4.35,5.30,1.00,3.49,,
November,2.35,1.85,0.87,1.99,1.06,2.01,3.10,1.91,1.19,0.80,,
December,4.33,4.84,1.87,1.16,2.01,0.91,1.87,2.66,1.86,3.58,,
Total,29.70,22.04,20.61,28.07,22.38,19.37,25.00,26.38,21.72,29.80,,
Calc annual,29.70,22.04,20.61,28.07,22.38,19.37,25.00,26.38,21.72,29.80,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,
