"SALTBURN-BY-THE-SEA, SKELTON CASTLE",,,,,,,,,,,,
Grid ref,NZ652194,Long,-0.993140,Lat,54.565635,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.20,0.50,2.40,0.80,1.10,0.81,,
February,,,,,3.02,0.73,1.29,1.13,3.25,1.48,,
March,,,,,1.58,1.29,1.35,0.74,2.25,4.33,,
April,,,,,1.43,1.74,0.75,1.58,2.28,2.12,,
May,,,,,2.40,1.15,3.68,3.12,2.63,1.76,,
June,,,,,1.11,1.22,1.01,3.95,1.03,2.52,,
July,,,,,2.33,1.27,1.14,1.21,2.55,2.96,,
August,,,,,2.53,2.63,2.83,2.14,2.10,4.72,,
September,,,,,0.96,2.45,0.64,0.51,2.13,1.85,,
October,,,,,0.70,6.25,4.54,5.05,1.19,2.49,,
November,,,,,2.51,5.08,2.69,2.23,1.81,1.50,,
December,,,,,2.01,0.59,2.70,3.04,1.36,3.75,,
Total,,,,,21.78,24.90,25.02,25.50,23.68,30.29,,
Calc annual,0.00,0.00,0.00,0.00,21.78,24.90,25.02,25.50,23.68,30.29,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,,
