"ROTHERHAM ULLEY RESERVOIR",,,,,,,,,,,,
Grid ref,SK453877,Long,-1.320411,Lat,53.384211,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.45,0.86,0.70,2.21,1.88,0.46,2.19,0.37,0.92,0.89,,
February,2.61,0.84,1.40,1.30,3.36,0.84,1.83,1.07,1.06,0.43,,
March,0.37,1.35,1.17,2.56,1.67,1.87,1.02,1.08,2.29,2.27,,
April,0.57,1.15,2.35,1.41,1.74,1.70,0.34,1.30,1.49,0.88,,
May,0.94,1.13,2.42,2.61,2.16,0.47,1.22,3.46,2.23,1.23,,
June,2.11,1.11,1.07,1.15,0.23,2.33,1.78,2.59,1.25,3.47,,
July,2.35,2.60,1.85,1.63,2.37,1.40,1.16,1.81,1.96,3.38,,
August,4.11,0.85,3.32,2.98,3.14,2.13,1.92,1.59,1.88,2.16,,
September,0.70,0.94,0.93,2.51,0.90,1.13,0.71,0.26,1.13,2.22,,
October,2.04,1.33,2.48,4.20,0.43,1.03,4.30,4.72,0.74,1.69,,
November,1.79,2.74,1.53,1.04,0.64,2.62,2.78,1.97,0.91,0.20,,
December,2.78,4.82,1.79,0.90,1.06,0.31,1.32,1.47,1.17,3.50,,
Total,22.82,19.72,21.01,24.50,19.58,16.29,20.57,21.69,17.03,22.32,,
Calc annual,22.82,19.72,21.01,24.50,19.58,16.29,20.57,21.69,17.03,22.32,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
