"KIRKSTEAD WOODHALL SPA",,,,,,,,,,,,
Grid ref,TF194623,Long,-0.216304,Lat,53.144474,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.75,0.57,0.72,1.58,,,,,,,,
February,4.06,1.51,1.38,0.39,,,,,,,,
March,0.43,1.26,1.38,3.13,,,,,,,,
April,2.04,1.22,1.40,1.42,,,,,,,,
May,0.94,1.33,2.82,1.97,,,,,,,,
June,2.49,1.17,2.24,0.85,,,,,,,,
July,1.24,2.55,1.49,2.03,,,,,,,,
August,3.67,2.35,3.02,4.44,,,,,,,,
September,0.83,1.18,0.77,3.33,,,,,,,,
October,2.30,1.96,2.25,5.73,,,,,,,,
November,2.07,1.77,1.41,1.67,,,,,,,,
December,3.28,4.33,1.34,1.01,,,,,,,,
Total,26.10,21.20,20.22,27.55,,,,,,,,
Calc annual,26.10,21.20,20.22,27.55,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
