"RYAL COTTAGE NEWCASTLE WATER WORKS",,,,,,,,,,,,
Grid ref,NZ015742,Long,-1.978051,Lat,55.062276,,,,,,,
Station no,3571,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.73,3.53,0.68,2.00,1.31,,
February,,,,,,1.32,1.36,1.16,1.18,2.78,,
March,,,,,,2.51,2.38,1.27,4.05,4.67,,
April,,,,,,5.57,1.66,2.10,1.85,3.38,,
May,,,,,,1.37,5.01,3.07,2.70,1.76,,
June,,,,,,1.25,2.33,3.83,0.40,2.20,,
July,,,,,,1.44,2.74,1.82,3.05,2.72,,
August,,,,,,4.79,6.55,2.58,1.85,2.32,,
September,,,,,,2.40,1.28,0.71,2.71,1.73,,
October,,,,,,3.07,5.55,5.82,2.79,2.63,,
November,,,,,,6.11,5.52,1.55,1.32,0.52,,
December,,,,,,1.38,2.75,2.74,1.01,3.89,,
Total,,,,,,31.94,40.66,27.33,24.91,29.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,31.94,40.66,27.33,24.91,29.91,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,,
