"WORTH WORTH LODGE CRAWLEY",,,,,,,,,,,,
Grid ref,TQ2907437107,Long,-0.157198,Lat,51.118721,,,,,,,
Station no,586,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.08,0.97,2.67,5.57,1.16,5.60,1.43,1.82,1.28,,
February,,1.85,1.62,1.66,3.83,0.73,2.93,1.74,1.32,0.54,,
March,,2.80,2.15,3.42,1.67,3.71,1.71,0.99,3.23,4.35,,
April,,2.36,0.99,2.10,1.53,1.91,0.82,4.23,2.90,1.73,,
May,,1.44,2.42,2.48,2.41,0.69,2.00,2.19,2.46,1.61,,
June,,1.51,3.40,4.30,1.04,3.35,2.39,1.96,1.74,3.78,,
July,,1.15,1.67,4.33,0.51,0.33,1.33,1.74,3.59,3.41,,
August,,1.54,3.81,4.40,1.54,2.28,1.46,2.72,4.63,3.19,,
September,,2.33,1.06,3.53,2.06,2.42,1.63,0.67,1.26,3.45,,
October,,2.99,2.66,8.00,1.91,1.93,5.14,5.69,2.04,6.80,,
November,,0.68,3.03,2.34,1.60,5.16,5.85,2.68,1.34,1.19,,
December,,5.70,1.20,2.56,3.40,0.73,2.22,3.75,3.64,4.76,,
Total,,25.43,24.98,41.79,27.07,24.40,33.08,29.79,29.97,36.09,,
Calc annual,0.00,25.43,24.98,41.79,27.07,24.40,33.08,29.79,29.97,36.09,,
Difference,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
