"BRAEMAR, MEALL AN SLUGAIN NO.9",,,,,,,,,,,,
Grid ref,NO129961,Long,-3.437282,Lat,57.047712,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.95,,,,,,,,,
February,,,1.30,,,,,,,,,
March,,,3.10,,,,,,,,,
April,,,2.95,,,,,,,,,
May,,,5.00,,,,,,,,,
June,,,2.76,,,,,,,,,
July,,,3.30,,,,,,,,,
August,,,3.10,,,,,,,,,
September,,,3.20,,,,,,,,,
October,,,3.70,,,,,,,,,
November,,,4.25,,,,,,,,,
December,,,6.50,,,,,,,,,
Total,,,42.11,,,,,,,,,
Calc annual,0.00,0.00,42.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
