"SKYE, LYNEDALE",,,,,,,,,,,,
Grid ref,NG367548,Long,-6.397540,Lat,57.506597,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,6.97,8.54,,
February,,,,,,,,,5.68,3.90,,
March,,,,,,,,,6.11,2.58,,
April,,,,,,,,,2.76,3.54,,
May,,,,,,,,,3.07,3.20,,
June,,,,,,,,,3.11,0.95,,
July,,,,,,,,,2.39,4.37,,
August,,,,,,,,,4.61,4.16,,
September,,,,,,,,,8.69,2.95,,
October,,,,,,,,,4.32,7.94,,
November,,,,,,,,,6.58,6.02,,
December,,,,,,,,,8.34,6.54,,
Total,,,,,,,,,62.63,54.69,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.63,54.69,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
