"WEST HARTLEPOOL",,,,,,,,,,,,
Grid ref,NZ507333,Long,-1.214967,Lat,54.692196,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.30,2.74,0.85,1.16,0.82,,
February,,,,,,0.49,0.69,1.30,1.18,1.70,,
March,,,,,,1.65,1.11,0.87,3.45,4.57,,
April,,,,,,1.91,0.88,1.88,2.58,3.02,,
May,,,,,,0.92,2.92,3.35,1.81,2.03,,
June,,,,,,0.71,0.88,4.25,1.47,2.01,,
July,,,,,,0.81,0.74,1.34,4.06,3.20,,
August,,,,,,2.95,3.35,2.81,1.41,7.00,,
September,,,,,,1.97,0.33,0.45,2.47,3.06,,
October,,,,,,2.79,5.09,4.88,1.66,3.30,,
November,,,,,,4.73,2.96,2.67,1.69,1.03,,
December,,,,,,0.52,2.75,3.61,0.99,2.46,,
Total,,,,,,19.75,24.44,28.26,23.93,34.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,19.75,24.44,28.26,23.93,34.20,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
