"DUNDEE HARBOUR",,,,,,,,,,,,
Grid ref,NO404298,Long,-2.968643,Lat,56.456568,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.67,1.86,1.24,4.44,1.88,0.41,1.88,1.01,1.20,1.58,,
February,3.42,1.50,1.45,3.47,5.10,0.81,0.46,0.82,0.37,0.82,,
March,1.71,1.45,1.30,2.75,1.79,2.99,1.24,1.62,3.08,4.34,,
April,1.49,2.55,1.88,1.30,2.04,2.07,0.84,1.70,0.61,3.72,,
May,1.76,1.99,2.22,1.51,2.44,1.47,4.15,3.52,1.46,3.43,,
June,1.50,2.63,1.69,2.39,0.42,0.78,-999.00,3.61,0.97,0.79,,
July,3.63,0.91,3.32,4.38,1.19,1.30,0.81,2.12,1.48,2.34,,
August,4.26,3.32,3.18,5.47,5.22,3.40,4.41,3.53,1.22,1.89,,
September,1.97,1.80,1.48,2.25,2.38,1.19,0.81,0.98,4.44,1.36,,
October,3.42,2.49,1.32,5.64,0.64,1.80,3.27,4.32,2.07,3.42,,
November,4.90,2.00,2.12,1.01,0.61,4.39,3.39,1.03,1.12,0.29,,
December,3.58,3.13,3.72,2.70,1.65,1.21,1.43,2.93,1.25,3.40,,
Total,35.31,25.63,24.92,37.31,25.36,21.82,23.62,27.19,19.27,27.38,,
Calc annual,35.31,25.63,24.92,37.31,25.36,21.82,22.69,27.19,19.27,27.38,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,-0.00,0.00,,
