"THETFORD, KING'S ROAD",,,,,,,,,,,,
Grid ref,TL868831,Long,0.745196,Lat,52.413995,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.54,,,,,,,,
February,,,,0.24,,,,,,,,
March,,,,1.69,,,,,,,,
April,,,,1.63,,,,,,,,
May,,,,2.67,,,,,,,,
June,,,,2.83,,,,,,,,
July,,,,3.98,,,,,,,,
August,,,,3.17,,,,,,,,
September,,,,3.55,,,,,,,,
October,,,,4.92,,,,,,,,
November,,,,1.76,,,,,,,,
December,,,,1.00,,,,,,,,
Total,,,,28.98,,,,,,,,
Calc annual,0.00,0.00,0.00,28.98,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
