"WINCHESTER HARESTOCK",,,,,,,,,,,,
Grid ref,SU460311,Long,-1.344746,Lat,51.077387,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.86,1.79,0.89,3.30,,,,,,,,
February,5.91,2.00,1.76,1.91,,,,,,,,
March,1.42,2.09,2.41,4.85,,,,,,,,
April,1.75,2.66,1.96,2.84,,,,,,,,
May,2.13,1.20,2.60,4.22,,,,,,,,
June,3.08,2.00,3.93,3.63,,,,,,,,
July,1.01,2.87,1.20,3.03,,,,,,,,
August,2.80,3.25,3.26,3.98,,,,,,,,
September,0.94,2.34,0.72,2.85,,,,,,,,
October,3.00,2.20,2.29,10.66,,,,,,,,
November,3.39,0.60,3.17,2.15,,,,,,,,
December,4.61,5.76,2.34,2.78,,,,,,,,
Total,33.90,28.76,26.53,46.20,,,,,,,,
Calc annual,33.90,28.76,26.53,46.20,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
