"BRAINTREE CAMOYS",,,,,,,,,,,,
Grid ref,TL749230,Long,0.539508,Lat,51.878136,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.07,0.87,,,
February,,,,,,,,0.97,1.23,,,
March,,,,,,,,0.79,2.07,,,
April,,,,,,,,2.64,3.22,,,
May,,,,,,,,1.48,1.70,,,
June,,,,,,,,2.51,0.87,,,
July,,,,,,,,1.70,3.36,,,
August,,,,,,,,1.69,2.38,,,
September,,,,,,,,0.49,1.11,,,
October,,,,,,,,2.87,1.57,,,
November,,,,,,,,2.00,1.14,,,
December,,,,,,,,2.74,1.90,,,
Total,,,,,,,,20.95,21.42,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.95,21.42,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,,
