"DENBIGH ASYLUM",,,,,,,,,,,,
Grid ref,SJ051652,Long,-3.421305,Lat,53.175415,,,,,,,
Station no,4312,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.02,2.15,2.21,,
February,,,,,,,,1.84,2.27,1.49,,
March,,,,,,,,1.73,3.65,2.06,,
April,,,,,,,,1.39,2.02,2.86,,
May,,,,,,,,2.24,2.30,0.59,,
June,,,,,,,,3.03,2.43,2.27,,
July,,,,,,,,1.93,2.30,2.48,,
August,,,,,,,,2.18,3.35,3.43,,
September,,,,,,,,0.61,3.45,3.17,,
October,,,,,,,,6.55,1.61,4.02,,
November,,,,,,,,2.16,2.68,1.43,,
December,,,,,,,3.31,2.49,1.77,4.99,,
Total,,,,,,,,27.17,29.98,31.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,3.31,27.17,29.98,31.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
