"EXETER, IDE",,,,,,,,,,,,
Grid ref,SX900904,Long,-3.559057,Lat,50.702803,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.18,,,,
February,,,,,,,,1.29,,,,
March,,,,,,,,0.77,,,,
April,,,,,,,,5.07,,,,
May,,,,,,,,2.86,,,,
June,,,,,,,,2.37,,,,
July,,,,,,,,1.37,,,,
August,,,,,,,,1.57,,,,
September,,,,,,,,0.99,,,,
October,,,,,,,4.54,8.17,,,,
November,,,,,,,,3.46,,,,
December,,,,,,,,5.51,,,,
Total,,,,,,,,34.61,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,4.54,34.61,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
