"NEWCASTLE & GATESHEAD WW COLT CRAG",,,,,,,,,,,,
Grid ref,NY942781,Long,-2.092424,Lat,55.097288,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.45,1.34,0.56,2.97,0.83,1.82,1.35,,
February,,,,2.35,2.25,0.93,1.06,1.25,1.22,2.36,,
March,,,,1.67,1.29,2.16,1.58,1.24,3.09,3.35,,
April,,,,1.18,1.88,2.90,1.12,2.16,1.59,3.15,,
May,,,,1.62,2.71,2.17,3.71,3.61,2.55,1.64,,
June,,,,1.90,1.65,0.88,1.79,4.43,0.48,2.19,,
July,,,,4.21,1.87,1.01,1.17,1.24,2.99,2.48,,
August,,,,2.59,2.57,3.55,5.62,2.77,2.38,2.41,,
September,,,,3.36,1.05,1.87,0.98,0.68,3.04,2.04,,
October,,,,7.71,0.77,2.32,5.34,5.82,2.47,3.32,,
November,,,,1.37,1.80,4.08,4.04,1.78,1.36,0.56,,
December,,,,1.87,1.75,1.18,1.41,2.67,1.41,3.19,,
Total,,,,33.28,20.93,23.61,30.79,28.48,24.40,28.04,,
Calc annual,0.00,0.00,0.00,33.28,20.93,23.61,30.79,28.48,24.40,28.04,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
