"CHESTERFIELD SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SK387723,Long,-1.421505,Lat,53.246315,,,,,,,
Station no,2718,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.26,0.75,1.00,1.34,,
February,,,,,,,2.49,1.81,2.05,0.42,,
March,,,,,,,1.54,1.77,2.65,2.88,,
April,,,,,,,0.37,1.49,1.72,1.14,,
May,,,,,,,1.71,2.84,1.79,1.30,,
June,,,,,,,2.01,3.33,1.50,2.62,,
July,,,,,,,0.68,1.79,2.11,2.59,,
August,,,,,,,1.26,1.79,2.72,2.40,,
September,,,,,,,0.68,0.33,1.48,1.89,,
October,,,,,,,6.09,4.58,0.88,3.09,,
November,,,,,,,2.38,1.84,1.33,0.57,,
December,,,,,,,1.65,1.97,1.72,5.32,,
Total,,,,,,,24.12,24.29,20.95,25.56,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.12,24.29,20.95,25.56,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
