"BEDFORD BROMHAM HOUSE",,,,,,,,,,,,
Grid ref,SP994513,Long,-0.548613,Lat,52.151048,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.11,3.53,1.37,1.16,,,
February,,,,,,0.80,1.29,0.97,1.06,,,
March,,,,,,2.74,1.56,1.39,2.73,,,
April,,,,,,1.37,0.53,1.69,3.21,,,
May,,,,,,0.22,1.06,5.15,1.97,,,
June,,,,,,3.34,3.43,1.24,1.31,,,
July,,,,,,0.40,1.52,2.45,3.42,,,
August,,,,,,2.57,0.39,1.81,1.79,,,
September,,,,,,0.99,0.81,0.53,2.21,,,
October,,,,,,0.83,4.02,2.96,1.60,,,
November,,,,,,2.49,3.98,2.13,0.80,,,
December,,,,,,1.40,1.49,3.27,1.38,,,
Total,,,,,,17.26,23.61,24.96,22.64,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,17.26,23.61,24.96,22.64,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,,
