"ST BOSWELLS FENS",,,,,,,,,,,,
Grid ref,NT605312,Long,-2.627993,Lat,55.572852,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.90,0.65,1.37,0.86,2.30,1.77,,
February,,,,,1.98,0.78,0.47,0.93,1.17,0.83,,
March,,,,,2.00,2.69,2.35,1.09,3.80,3.99,,
April,,,,,1.15,2.04,0.83,1.83,0.94,2.81,,
May,,,,,1.10,1.09,5.72,3.24,2.59,1.56,,
June,,,,,2.00,1.15,2.27,4.09,1.18,1.85,,
July,,,,,2.39,1.22,1.33,2.44,2.36,2.29,,
August,,,,,2.07,4.40,6.15,2.60,1.87,2.00,,
September,,,,,0.61,2.04,0.71,0.76,2.72,2.14,,
October,,,,,0.59,2.19,5.48,5.37,1.83,3.35,,
November,,,,,1.48,3.19,2.61,1.93,1.32,0.47,,
December,,,,,1.42,0.67,2.16,3.04,0.69,3.01,,
Total,,,,,18.69,22.11,31.45,28.18,22.77,26.07,,
Calc annual,0.00,0.00,0.00,0.00,18.69,22.11,31.45,28.18,22.77,26.07,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,,
