"ALNESS ARDROSS CASTLE",,,,,,,,,,,,
Grid ref,NH611741,Long,-4.334560,Lat,57.735088,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.77,3.95,3.79,6.53,2.65,3.97,4.93,4.16,3.99,4.38,,
February,3.02,4.24,1.47,5.66,4.89,4.27,6.37,3.42,5.75,1.61,,
March,4.00,4.22,3.28,4.39,1.37,4.09,3.27,2.78,4.53,5.35,,
April,3.28,1.76,2.08,3.52,3.72,3.21,2.32,2.35,1.72,3.05,,
May,1.99,2.85,3.74,2.75,2.43,2.14,5.78,4.20,2.01,2.54,,
June,2.39,3.12,3.30,1.41,1.53,0.94,0.62,5.38,1.41,2.18,,
July,5.55,2.25,3.04,6.04,1.85,2.11,2.91,2.01,1.70,2.87,,
August,4.21,3.42,2.11,5.79,4.13,4.32,3.64,3.45,2.25,2.03,,
September,2.82,1.30,2.53,2.94,2.33,2.23,1.88,1.02,7.83,2.21,,
October,4.62,3.61,2.13,7.95,2.42,4.87,5.71,3.12,1.17,5.78,,
November,5.24,2.89,1.43,5.27,3.08,6.80,7.18,3.40,3.89,2.87,,
December,7.77,5.20,4.94,1.95,4.46,2.26,4.11,3.47,3.22,3.17,,
Total,50.66,38.81,33.84,54.20,34.86,41.21,48.72,38.76,39.47,38.04,,
Calc annual,50.66,38.81,33.84,54.20,34.86,41.21,48.72,38.76,39.47,38.04,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
