"SEDBERGH THORNS HALL",,,,,,,,,,,,
Grid ref,SD663921,Long,-2.519629,Lat,54.323357,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.37,3.27,4.48,9.48,6.43,3.10,9.10,2.67,6.82,4.93,,
February,4.16,1.41,1.02,7.54,3.93,3.24,4.10,3.59,3.53,2.95,,
March,0.11,4.83,3.34,7.11,4.23,3.77,4.63,6.08,5.37,3.38,,
April,3.97,3.66,2.27,1.97,6.00,4.63,2.21,3.49,2.67,4.07,,
May,2.98,1.76,3.53,2.79,4.57,2.05,8.60,5.49,4.29,1.88,,
June,3.51,2.06,1.36,1.87,2.22,3.19,2.99,9.29,3.23,2.78,,
July,2.80,1.24,4.62,5.86,1.61,2.51,3.00,3.87,4.84,6.65,,
August,5.36,4.09,2.97,9.89,4.83,5.18,6.39,4.76,5.59,4.17,,
September,3.52,2.42,1.96,6.95,2.28,4.40,1.58,0.78,8.43,3.54,,
October,9.43,4.67,3.80,11.75,2.84,3.77,7.69,4.89,2.58,8.03,,
November,4.12,6.58,2.77,3.51,3.91,5.88,5.83,4.30,3.92,3.41,,
December,7.41,5.51,5.32,4.49,4.83,3.09,4.15,7.58,4.04,8.64,,
Total,53.74,41.50,37.44,73.21,47.68,44.81,60.27,56.79,55.31,54.43,,
Calc annual,53.74,41.50,37.44,73.21,47.68,44.81,60.27,56.79,55.31,54.43,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
